"Canceled by Datatrans","Storniert durch Datatrans"
"Merchant-ID","Merchant-ID"
"Testmode","Testmodus"
"Datatrans HMAC Key","Datatrans HMAC Key"
"Datatrans Response HMAC Key","Datatrans Response HMAC Key"
"Payment from Applicable Countries","Zahlung aus zugelassenen Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Initializing 3D-Secure Redirect: display customer notification page","Initialisiere 3D-Secure Weiterleitung: Zeige Kundenhinweis-Seite"
"An error occured while processing the payment: unable to recreate payment instance for method ""%s""","Ein Fehler trat während der Zahlungsverarbeitung auf: unable to recreate payment instance for method ""%s"""
"Customer successfully returned from Datatrans Payment","Kunde kehrte erfolgreich von der Datatrans Zahlung zurück"
"Unique Transaction Identifier: ","Eindeutige Transaktionskennung: "
"Transaction Authorization Code: ","Autorisierungscode: "
"Payment Method: ","Zahlungsart: "
"Payment Method","Zahlungsart"
"Card Issuing Banks Authorization Code: ","Autorisierungscode der kartenausgebenden Bank: "
"Name on Card","Name auf der Karte"
"Credit Card Type","Kartentyp"
"--Please Select--","--Bitte auswählen--"
"Credit Card Number","Nummer"
"Expiration Date","Gültig bis"
"Card Verification Number","Sicherheitscode"
"What is this?","Was ist das?"
"You will be redirected to PayPal website after the last step of checkout.","Bezahlen Sie einfach und sicher mit Ihrem Paypal-Konto. Im nächsten Schritt werden Sie zu PayPal weitergeleitet, wo Sie dann Ihre Zahlung in voller Sicherheit abschliessen können."
"You will be redirected to Postfinance website after the last step of checkout.","Bezahlen Sie einfach und sicher mit Ihrem Postfinance-Konto. Im nächsten Schritt werden Sie zu Postfinance weitergeleitet, wo sie dann Ihre Zahlung in voller Sicherheit abschliessen können."
"Datatrans Transaction ID: %s","Datatrans Transaktions-ID: %s"
"Datatrans","Datatrans"
"Enabled","Aktiv"
"Title","Titel"
"Authorize Only (Reservation)","Nur Autorisieren (Reservation)"
"Authorize and Capture (Booking)","Autorisieren und Verbuchen (Buchung)"
"Credit Card Types","Kreditkarten-Anbieter"
"CreditCard-Payments (via Datatrans)","Kreditkarten-Zahlungen (via Datatrans)"
"Sort Order","Sortier-Reihenfolge"
"Allow MasterCard and VISA transactions without 3D-Secure liability shift","MasterCard und VISA Zahlungen ohne 3D Secure Haftungsumkehr zulassen"
"Payments from other Credit Card Types that do not offer 3D-Secure are not affected by this option","Zahlungen von anderen Kreditkarten welche keine 3D-Secure Haftungsumkehr anbieten werden durch diese Einstellung nicht betroffen."
"Payment Action","Zahlungs-Aktion"
"PayPal (via Datatrans)","PayPal (mit Datatrans)"
"Postfinance (via Datatrans)","Postfinance (mit Datatrans)"
"An error occured while processing the payment, please contact the store owner for assistance.","Bei der Verarbeitung der Zahlung ist ein Fehler aufgetreten, bitte kontaktieren Sie den Shop-Betreiber."
"An error occures while processing the payment: %s","Bei der Verarbeitung der Zahlung ist ein Fehler aufgetreten: %s"
"Authorization for %s successfull (AUTHCODE %s, ID %s)","Autorisierung der Zahlung von %s erfolgreich (AUTHCODE %s, ID %s)"
"Error authorizing payment: %s","Fehler bei der Autorisierung der Zahlung: %s"
"Error parsing response: %s","Fehler beim Auswerten der Antwort: %s"
"Error: authorization requested for order ""%s"", recieved authorization for order id ""%s""","Fehler: Autorisierungs-Anfrage für Bestellung ""%s"", Antwort für Bestellung ""%s"""
"Error processing payment: %s","Fehler beim Verarbeiten der Zahlung: %s"
"An error occured while processing the payment, unable to initialize 3D Secure MPI: %s","Ein Fehler ist beim Verarbeiten der Zahlung aufgetreten, 3D-Secure MPI kann nicht initialisiert werden: %s"
"Please check the error log for details","Bitte prüfen Sie das Error Log für Details"
"Unable to verify 3D-Secure participation: %s","Kann 3D-Secure Teilnahme nicht überprüfen: %s"
"Error validating card MPI enrollment","Fehler beim Überprüfen der 3D-Secure Teilnahme"
"3D-Secure Authorization cancelled by customer","3D-Secure Autorisation durch Benutzer abgebrochen"
"Order processing halted because 3D-Secure liability shift is not available.","Die Verarbeitung der Bestellung wurde unterbrochen da keine 3D-Secure Haftungsumkehr besteht."
"The credit card is not enrolled in the 3D-Secure program. Please contact the institution issuing your card for further information.","Die Kreditkarte nimmt nicht am 3D-Secure Verfahren Teil. Bitte kontaktieren Sie den Herausgeber der Karte für weitere Informationen."
"3D-Secure liability shift not available for this transaction","3D-Secure Haftungsumkehr nicht verfügbar für diese Transaktion"
"3D-Secure liability shift was disabled during authorization request","3D-Secure Haftungsumkehr wurde währen der Authorisierung deaktiviert"
"Redirect ""%s""","Weiterleitung ""%s"""
"Your %s Card is activated for ""%s""","Ihre %s Karte ist für ""%s"" aktiviert."
"You will be redirected to the card-issuer in order to identify yourself.","Sie werden an Ihre kartenherausgebende Bank weitergeleitet, um sich zu identifizieren."
"3D-Secure not supported by your card.","3D-Secure wird von ihrer Karte nicht unterstützt."
"If you are not redirected within 5 seconds please <a href=""%s"">click here</a>.","Wenn Sie nicht innerhalb von 5 Sekunden weitergeleitet werden, <a href=""%s"">klicken Sie bitte hier</a>."
"Unfortunately, your credit card was declined as its limit was reached.","Leider wurde Ihre Kreditkarte nicht akzeptiert, da die Limite überschritten wurde."